piste.name,piste.created_at,piste.updated_at,sample.state,sample.created_at,sample.updated_at
Pissevache,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Pasay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Les Otanes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-28 07:12:11 UTC,2019-03-28 07:12:11 UTC
Grand - Tsai,2019-03-27 10:32:35 UTC,2019-03-27 10:32:35 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Sur le Six,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Pissevache,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-17 15:12:20 UTC,2019-03-17 15:12:20 UTC
Pasay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Les Otanes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-30 07:12:10 UTC,2019-03-30 07:12:10 UTC
Hattey,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Vallon d'Arbi,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-13 14:52:09 UTC,2019-03-13 14:52:09 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-13 14:52:09 UTC,2019-03-13 14:52:09 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Col des Mines,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-13 14:52:09 UTC,2019-03-13 14:52:09 UTC
Fontanet,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Lacs,2019-01-22 11:52:25 UTC,2019-01-22 11:52:25 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Chaux,2019-03-27 10:12:23 UTC,2019-03-27 10:12:23 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Combe,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
FIS,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Piste des Profs,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Lacs,2019-03-27 10:12:23 UTC,2019-03-27 10:12:23 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Vallon d'Arbi,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Chassoure - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Col des Mines,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Taillay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
Mt - Fort,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-11 10:52:10 UTC,2019-03-11 10:52:10 UTC
Moulins,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Esserts,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Etiértses,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Chaux bleue,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Route de Médran,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Lacs,2019-01-22 11:52:25 UTC,2019-01-22 11:52:25 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Hattey,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Fontanet,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Lacs,2019-01-22 11:52:25 UTC,2019-01-22 11:52:25 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Chaux rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Combe,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
FIS,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Piste des Profs,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Lacs noire,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-12 09:03:31 UTC,2019-03-12 09:03:31 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Chassoure - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Clambin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Taillay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Coeur,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Saxon,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Etablons,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Combe du Nord,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Tournelle,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Sud,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Planards - Esserts,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Pasay  -  Monneyeux  -  La Côt,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Moay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Grand Tsai,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Sur le Six,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Pissevache,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Pasay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Les Otanes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-16 16:12:24 UTC,2019-03-16 16:12:24 UTC
Taillay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Coeur,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Saxon,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Etablons,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Combe du Nord,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Tournelle,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Sud,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-12 15:03:51 UTC,2019-04-12 15:03:51 UTC
Vallon d'Arbi,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-26 14:52:28 UTC,2019-03-26 14:52:28 UTC
Col des Mines,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,closed,2019-03-26 14:52:28 UTC,2019-03-26 14:52:28 UTC
Saxon,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-10 15:03:47 UTC,2019-04-10 15:03:47 UTC
Etablons,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-10 15:03:47 UTC,2019-04-10 15:03:47 UTC
Combe du Nord,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-10 15:03:47 UTC,2019-04-10 15:03:47 UTC
Tournelle,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-10 15:03:47 UTC,2019-04-10 15:03:47 UTC
Sud,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-10 15:03:47 UTC,2019-04-10 15:03:47 UTC
Pasay  -  Monneyeux  -  La Côt,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-15 07:32:34 UTC,2019-03-15 07:32:34 UTC
Cabane,2017-11-18 14:14:37 UTC,2017-11-18 14:14:37 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Sur le Six,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-15 07:32:34 UTC,2019-03-15 07:32:34 UTC
Pissevache,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-15 07:32:34 UTC,2019-03-15 07:32:34 UTC
Pasay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-15 07:32:34 UTC,2019-03-15 07:32:34 UTC
Les Otanes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,open,2019-03-15 07:32:34 UTC,2019-03-15 07:32:34 UTC
Gentianes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Pasay  -  Monneyeux  -  La Côt,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Moay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Grand Tsai,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Sur le Six,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Pissevache,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Pasay,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Les Otanes,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-19 16:12:19 UTC,2019-03-19 16:12:19 UTC
Gentianes - La Chaux,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Mont - Fort,2019-03-27 10:32:34 UTC,2019-03-27 10:32:34 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Gentianes - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Moulins,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Rouge,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Esserts,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Etiértses,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Chaux,2019-03-27 10:12:23 UTC,2019-03-27 10:12:23 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Route de Médran,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Lacs,2019-01-22 11:52:25 UTC,2019-01-22 11:52:25 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Attelas,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Fontanet,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Lacs,2019-01-22 11:52:25 UTC,2019-01-22 11:52:25 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Chaux,2019-03-27 10:12:23 UTC,2019-03-27 10:12:23 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Combe,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
FIS,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Piste des Profs,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Lacs,2019-03-27 10:12:23 UTC,2019-03-27 10:12:23 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Vallon d'Arbi,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Mont - Gelé,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Chassoure - Tortin,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Col des Mines,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-03-27 16:22:21 UTC,2019-03-27 16:22:21 UTC
Coeur,2017-11-18 14:14:38 UTC,2017-11-18 14:14:38 UTC,in_preparation,2019-04-02 15:12:28 UTC,2019-04-02 15:12:28 UTC
